title,description,genre_filtered,title_lower
The Time Machine/The War of the Worlds,time machine time traveller courageously stepped machine first time found year everything changed unfamiliar utopian age creatures seemed dwell together perfect harmony time traveller thought could study marvelous beings unearth secret return time discovered invention avenue escape stolen wells famous novel one man astonishing journey beyond conventional limits imagination first appeared immediate recognition regarded ever since one great masterpieces literature science fiction war worlds wells science fiction classic first novel explore possibilities intelligent life planets still startling vivid nearly century appearance half century orson welles infamous radio adaptation daring portrayal aliens landing english soil themes interplanetary imperialism technological holocaust chaos central career wells died dawn atomic age survival mankind face vast cool unsympathetic scientific powers spinning control crucial theme throughout work visionary shocking chilling war worlds lost none impact since first publication time machine war worlds,fantasy,the time machine/the war of the worlds
Better off Friends,macallan levi friends first sight everyone says guys girls friends two hang school share tons inside jokes families super close levi even starts dating one macallan friends platonic happy way eventually realize best friends bad keep getting way guys ask macallan think levi levi spends much time joking around macallan maybe enough time date help wonder friends better without making even complicated better friends,romance,better off friends
Conclave,pope dead behind locked doors sistine chapel one hundred eighteen cardinals globe cast votes world secretive election holy men ambition rivals next seventy two hours one become powerful spiritual figure earth conclave,thriller,conclave
More Than Enough,enough book five series may read standalone though recommended read series order series reading order book one book two book three forever book four emotion greater fear ache greater grief sound greater silence grateful showed doorstep pissed angry world mean journey mean world wonder events lives included turning points points determine fear pasts uncertainty futures greater need happiness time everything around stands unmoving say wanted wanted thrived chaos created ignored mayhem ensued falling love easy sometimes love enough enough,romance,more than enough
A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,four days christmas badly damaged american bomber struggled fly wartime germany controls year old pilot half crew lay wounded dead first mission suddenly sleek dark shape pulled bomber tail german messerschmitt fighter worse german pilot ace man able destroy american bomber squeeze trigger happened next would defy imagination later called incredible encounter enemies world war true story two pilots whose lives collided skies day american lieutenant charlie brown former farm boy west virginia came captain german lieutenant franz stigler former airline pilot bavaria sought avoid fighting world war higher call follows charlie franz harrowing missions charlie would face takeoffs english fog flaming wreckage buddies planes flak bursts close would light cockpit packs enemy fighters would circle plane like sharks franz would face sandstorms desert crash alone sea spectacle bombers eleven guns waiting attack ultimately charlie franz would stare across frozen skies one another happened american air force would later classify top secret act franz could never mention else face firing squad encounter would haunt charlie franz forty years old men would search one another last mission could change lives forever higher call incredible true story combat chivalry war torn skies world war,history,a higher call: an incredible true story of combat and chivalry in the war-torn skies of world war ii
The Chocolate Lovers' Diet,feisty members chocolate lovers club back mouth wateringly delicious new novel lucy lombard thought happily ever sewn gorgeous boss aidan declared love caught bed another woman always one problems autumn new boyfriend yet meet parents nadia husband swears given gambling trust chantal hoping save marriage quite way expected surprising girls going need lot chocolate see challenges lie ahead chocolate lovers diet,romance,the chocolate lovers' diet
Netherland,new york city made phantasmagorical events hans banker originally netherlands finds marooned among strange occupants chelsea hotel english wife son return london alone untethered feeling lost country come regard home hans stumbles upon vibrant new york subculture cricket revisits lost childhood thanks friendship charismatic charming trinidadian named chuck ramkissoon begins reconnect life adopted country ramkissoon gatsby like figure part idealist part operator introduces hans new york populated immigrants strivers every race nationality hans alternately seduced instructed chuck particular brand naivete chutzpah ability hold fast sense american human possibility hans come lose faith netherland gives flawlessly drawn little known new york story much larger brilliantly achieved ambition grand strangeness fading promise century america outsider vantage point complicated relationship american dream particular dreamers immediately though story one man marriage foundering recuperating mystery ordinariness shallows depths male friendship mourning memory joseph neill prose conscientiousness beauty involves utterly struggle meaning governs single life netherland,sports,netherland
The Four Seasons of Brambly Hedge,brambly hedge books modern publishing phenomenon first four little books published reprinted twenty times sales millions jill barklem chose original small format seemed suit miniature community self sufficient mice ability visualize detail brambly hedge deserves closer look reason original organized larger size last brambly hedge enjoyed detail displaying jill barklem artistic talent full four season brambly hedge begins twenty page conversation jill barklem illustrated early sketches notebooks fascinating material never published traces origins development brambly hedge reveals artist total commitment vision four seasons brambly hedge,fantasy,the four seasons of brambly hedge
Shadowstorm,invasion arch wizards archwizards shade enclave come desert message peace act war split petty disputes causeless feuds merchant realm sembia wide open invasion shortage sembians happy sell shadovar one man even man erevis cale anything stop shadowstorm,fantasy,shadowstorm
Midnight's Mask,shadows deepen every corner realms sun longer shines man embraced darkness within day opposite finds erevis cale far along path away humanity may never walk man end chosen god like mask curse blessing midnight mask,fantasy,midnight's mask
A Common Life: The Wedding Story,sixth novel beloved mitford series bestselling author home mitford somebody safe somebody good laughter wedding bells ring jan karon takes millions fans back time cherished event mitford mitford lord chapel seats barely two hundred souls yet millions jan karon fans joyful event years wedding father tim kavanagh cynthia coppersmith last common life long awaited answers deeply probing questions father tim fall apart takes vows cynthia make church time arrange flowers bake wedding cake uncle billy prayers great joke answered time reception beloved mitford characters dooley barlowe miss sadie louella emma newland mayor short everybody anybody little town big heart common life perfect gift mother day father day anniversaries bride groom give beloved truth perfect anyone believes laughter relies hope celebrates love common life wedding story,romance,a common life: the wedding story
The Library Card,mongoose brenda sonseray april nothing common mysterious blue card appears magic begins change lives none guesses first strange blue card ticket past future never imagined stories range humorous heartbreaking newbery award winner jerry spinelli reveals amazing possibilities lurking behind library doors library card,fantasy,the library card
Profiles in Courage,pulitzer prize winning classic president john kennedy introduction caroline kennedy foreword robert kennedy written junior senator state massachusetts john kennedy profiles courage serves clarion call every american book kennedy chose eight historical colleagues profile acts astounding integrity face overwhelming opposition heroes coming different junctures nation history include john quincy adams daniel webster thomas hart benton robert taft half century later book remains moving powerful relevant testament indomitable national spirit unparalleled celebration noble human virtues resounds timeless lessons cherished virtues powerful reminder strength human spirit profiles courage robert kennedy states foreword stories past book hope confidence future happens country world depends others left along vintage photographs extensive author biography book features kennedy correspondence writing project contemporary reviews letter ernest hemingway two rousing speeches recipients profile courage award introduction john kennedy daughter caroline kennedy forward john kennedy brother robert kennedy profiles courage,history,profiles in courage
Last of the Nephilim,nephilim race giants ancient times find way invade second eden peaceful civilization alternate dimension small girl world holds one key secret separate earth hades disastrous union another girl land underneath hades holds key together help two teenagers battle nephilim another great evil plagues land giants battling dragons rogue dragon taking side forces evil cataclysmic battle erupts endangering every life worlds two sides bitter conflict another nephilim powerful rises dead join battle whose side two oracles fire sapphira acacia find way protect two key wielding girls brutal giants determined kill costs hope seems lost another warrior steps battle heir arthur hero dragons midst series billy bannister last nephilim,fantasy,last of the nephilim
Creatures of Light and Darkness,two gods two houses one quest eternal war life death save kingdom anubis lord dead sends forth servant mission vengeance time house life osiris sends forth son horus mission destroy utterly forever prince thousand neither superhuman warriors prepared strange harrowing world mortal life thing cries night may well destroy worlds humankind zelazny hindu pantheon legendary groundbreaking classic lord light master storyteller breathes new life egyptian gods another dazzling tale mythology imagination creatures light darkness,fantasy,creatures of light and darkness
Rough Canvas,father dies thomas forced abandon burgeoning art career new york difficult give lifelong dream nothing next walking away man loves marcus taught embrace sexual submissive responds touch one master would sophisticated marcus need farm kid south marcus shows offers way continue art career help family one hitch asks thomas spend week berkshires thomas knows refuse never able say master rough canvas,romance,rough canvas
A Streetcar Named Desire and Other Plays,tennessee williams sensuous atmospheric plays transformed american stage passion exoticism vibrant characters rage personal demons modern world streetcar named desire fading southern belle blanche dubois finds romantic illusions brutally shattered glass menagerie portrays introverted girl trapped fantasy world sweet bird youth shows unable escape enemy time streetcar named desire plays,romance,a streetcar named desire and other plays
Dogsbody,dog star sirius tried murder heavenly peers found guilty sentence reborn earth dog time carries seemingly impossible mission imposed earth guise sirius renamed leo truly lives dog life although pet girl loves child dog mistreated family live worldly obstacles leo faces minor compared chilling encounters dark powers set quest seems hopeless last sol moon earth come aid dogsbody tense exciting sciencefiction fantasy thriller touching dog story one dogsbody,fantasy,dogsbody
The Kane Chronicles Survival Guide,fans kane chronicles series adore gorgeous primer people places gods creatures found rick riordan new york times bestselling series boasting lenticulars easy assemble trading card pyramid full color diagrams maps deluxe lavishly illustrated guide teaches readers compile secret messages read hieroglyphics recite ancient magic spells featuring enough information extras satisfy avid followers budding egyptologists alike guide cast spell readers ages kane chronicles survival guide,fantasy,the kane chronicles survival guide
I Heart Vegas,escape vegas hilarious feel good rom com bestselling heart series angela clark loves life new york brit conquered big apple unfortunately also brit lost job couple weeks christmas immigration department gets wind angela needs find new job urgently husband think boyfriend alex keen girls weekend vegas best friend jenny seems perfect way forget troubles minute arrive angela swept whirl cocktails outrageous outfits late nights brushes chapel love rather escaping trouble angela neck happens vegas stays vegas right readers love lindsey fun romantic warm closer witty funny warm wise marian keyes lindsey queen cracking one liners hilarious energetic alex brown heart vegas,romance,i heart vegas
A Secret Gift: How One Man's Kindness & a Trove of Letters Revealed the Hidden History of the Great Depression,inspiring account america worst americans best woven stories depression era families helped gifts author generous secretive grandfather shortly christmas depression scarred canton ohio small newspaper offered strings attached families distress interested readers asked submit letters describing hardships benefactor calling virdot author grandfather sam stone inspired place assist fellow cantonians prepared cruelest christmas would ever witness moved tales suffering expressions hope contained letters discovered suitcase years later ted gup initially set unveil lives behind searching records relatives country could help flesh family sagas hinted letters sources gup created impact virdot gift family many people yearned bread coal necessities many others received money virdot fanciful items toy horse say set encyclopedias gup investigations revealed things power turn people lives around even save uncovered suffering triumphs dozens strangers gup also learned sam stone far complex lovable retiree persona always shown grandson gup unearths deeply buried details sam life impoverished abusive upbringing felonious efforts hide immigrant origins officials help explain felt strong affinity strangers need drawing unique find award winning reportorial gifts ted gup solves singular family mystery even pulls away veil eight decades separate hardships united america depression secret gift weaves revelations seamlessly tapestry depression era america fascinate inspire equal measure watch video secret gift one man kindness trove letters revealed hidden history great depression,history,a secret gift: how one man's kindness & a trove of letters revealed the hidden history of the great depression
Mass Effect: Revelation,every advanced society galaxy relies technology protheans ancient species vanished fifty thousand years ago discovering cache prothean technology mars humanity spreading stars newest interstellar species struggling carve place greater galactic community edge colonized space ship commander alliance war hero david anderson investigates remains top secret military research station smoking ruins littered bodies unanswered questions attacked post purpose kahlee sanders young scientist mysteriously vanished base hours colleagues slaughtered sanders prime suspect finding creates problems anderson solves partnered rogue alien agent trust pursued assassin escape anderson battles impossible odds uncharted worlds uncover sinister conspiracy one live tell enemy thinks mass effect revelation,fantasy,mass effect: revelation
Bloodlands: Europe Between Hitler and Stalin,americans call second world war good war even began america wartime ally josef stalin killed millions citizens kept killing war hitler finally defeated murdered six million jews nearly many europeans war end german soviet killing sites fell behind iron curtain leaving history mass killing darkness bloodlands new kind european history presenting mass murders committed nazi stalinist regimes two aspects single history time place occurred germany russia hitler stalin held power assiduously researched deeply humane utterly definitive bloodlands required reading anyone seeking understand central tragedy modern history booklistif explanation political killing perpetrated eastern europe historian snyder roots agriculture stalin wanted collectivize farmers hitler wanted eliminate germans could colonize land dictators wielded frightening power advance fantasies toward reality despots toted million corpses stupefying figure snyder sets three goals break number various actions murder comprise liquidation kulaks final solution restore humanity victims via surviving testimony fates deny hitler stalin historical justification policies time legions supporters even today scope may render snyder project imposing casual readers would engage exposed period chronology major interpretive issues extent nazi soviet systems may compared solid judicious scholarship large wwii collections bloodlands europe hitler stalin,history,bloodlands: europe between hitler and stalin
चंद्रकांता (Chandrakanta #1),dashing prince virendra naugarh madly love breathtakingly beautiful princess chandrakanta vijaygarh obstacles galore paths lovers evil ministers sinister magicians beck call enemy kings happy battle masters disguise fool cleverest spies magic around chandrakanta gets trapped fantastic maze virendra rescue able decipher clues follow trail correctly get late friends tej singh chapla others help adequately deep knowledge art divination disguise chandrakanta popular hindi novel devaki nandan khatri considered first work prose modern hindi language may significantly contributed language popularity chandrakanta,fantasy,चंद्रकांता (chandrakanta #1)
The Redwall Collection,enthralling tale jam packed things long great adventure danger laughter hairbreadth escapes tragedy mystery touch wonder truly villain hero take heart redwall collection,fantasy,the redwall collection
Phaedo,phaedo acknowledged one plato masterpieces showing philosopher dramatist height powers moving account execution socrates phaedo ranks among supreme literary achievements antiquity also document crucial understanding many ideas deeply ingrained western culture provides one best introductions plato thought phaedo,history,phaedo
The Star Garden,bestselling author words comes exhilarating follow beloved sarah quilt latest diary entries pioneer woman sarah agnes prine nancy turner continues sarah extraordinary story struggles make home arizona territory winter nearing bankruptcy surviving drought storms rustling cattle sarah remains stalwart pillar extended family stagecoach accident puts path three strangers change life sickness health neighbor udell hanna remains trusted friend pressing sarah marry reveals plan grant sarah dearest wish overwhelmed passion excitement soon discovers however formal education bargained behind scenes sarah old friend maldonado struck deal men become linchpins mexican revolution maldonado plots coerce sarah partnership refuses devises murderous plan gain land building railroad straight mexico sarah son charlie unexpectedly returns town new bride plot turns range war two families finally putting end udell constant kindnesses sarah describes iron boned woman wants merely comfortable fill dead wife chance encounter discovers true feelings believe selfless love last reached star garden,romance,the star garden
The Original Illustrated Sherlock Holmes,reproduced complete facsimile original sherlock holmes detective stories first appeared famed british magazine strand illustrating stories drawings sidney paget illustrations immortal stories get ready serious investigating suspense filled adventure short stories plus complete novel hound baskervilles original illustrated sherlock holmes,crime,the original illustrated sherlock holmes
Flawed Dogs: The Shocking Raid on Westminster,pulitzer prize winning creator bloom county opus delivers humorous heartwarming illustrated novel kids dog lovers age breathed words lush illustrations tells story charm many readers new york times sam lion actually priceless dachshund bred show dog important heidy best friend needs one like never living reclusive uncle hard sam way making feel soft whole day sam framed jealous poodle cassius cast heidy uncle alone wild streets roughed world bred sporting soup ladle leg sam befriends abandoned dogs journeys way westminster dog show plan revenge cassius takes unexpected turn heidy spot years apart pulitzer prize winner new york times bestselling author berkeley breathed first illustrated novel heartwarming humorous ode unconditional lasting love pets share flawed dogs shocking raid westminster,fantasy,flawed dogs: the shocking raid on westminster
Trapped,twelve years secret training atticus sullivan finally ready bind apprentice granuaile earth double number druids world eve ritual world thought dead abruptly discovers still alive would much rather return grave choice atticus trusted irish wolfhound oberon granuaile travel base mount olympus roman god bacchus anxious take sworn revenge get line behind ancient vampire band dark elves old god mischief seem kill druid top lists trapped,fantasy,trapped
Il paradiso degli orchi,eroe malauss che come lavoro capro espiatorio una famiglia disneyana senza mamme babbi con fratellini geniali sorelle sensitive una zia maschio protettrice vecchietti ladri travestiti brasiliani una zia femmina super sexy ritratto irresistibile del giornalismo alla actuel una misteriosa guardia notturna serba cane epilettico questa esilarante banda personaggi indaga una serie oscuri attentati sull orrore nascosto nel tempio del benessere grande magazzino dove scoppiano bombe tra giocattoli babbo natale assassino aspetta prossima vittima altalena tra divertimento suspence tra una parigi misteri sue una parigi post moderna dove proliferano grandi orchi che qualcuno crede estinti degli orchi ridere tremare uno scrittore invenzione talento fuori delle scuole come pennac non certo paura affrontarli con arma che lui stesso cos definisce nel libro comico espressione dell etica stefano benni paradiso degli orchi,crime,il paradiso degli orchi
The Wave,wave based true incident occurred high school history class palo alto california powerful forces group pressure pervaded many historic movements nazism recreated classroom history teacher burt ross introduces new system students long wave rules strength discipline community action sweeps classroom entire school students join movement laurie saunders david collins recognize frightening momentum wave realize must stop late wave,psychology,the wave
The White Princess,caught loyalties mother tudors must choose red rose white henry tudor crown england mud bosworth field knows must marry princess enemy house elizabeth york unify country divided war nearly two decades bride still love slain enemy richard iii mother half england dream missing heir sent unknown white queen new monarchy win power win hearts england plots triumphant return house york henry greatest fear somewhere prince waiting invade reclaim throne young man would king leads army invades england elizabeth choose new husband coming love boy claims beloved lost brother rose york come home last white princess,romance,the white princess
Blood and Thunder: An Epic of the American West,magnificent history west really sweeping tale shame gloryin fall venerable navajo warrior narbona greatest people chieftains looked upon small town santa stronghold mexican settlers fighting whole long life come see rumors true army blue suited soldiers swept east utterly defeated ancestral enemies narbona gazed battlements cannons mighty fort invaders built realized foes vanquished arrival new men portend navajo narbona could known army west midst longest march american military history merely vanguard inexorable tide fueled self righteous ideology known manifest destiny twenty years navajo elusive lords huge swath mountainous desert pasturelands would ferociously resist flood soldiers settlers wished change ancient way life destroy blood thunder epic american west,history,blood and thunder: an epic of the american west
The Golden Sword,power create planets sixty carved bones yris tera foretold ancient fate heritage power took beyond time space stole one man loved enslaved planet silistra tomorrow beautiful courtesan unleashes powers gods golden sword,fantasy,the golden sword
Slaves of the Mastery,five years passed city aramanth become kinder weaker ruthless soldiers mastery strike city burned manth people taken slavery kestrel hath left behind separated beloved brother bowman vowing revenge kestrel must find bowman bowman must learn secrets singer people break power mastery cover illustration david scutt slaves mastery,fantasy,slaves of the mastery
Peculiar Treasures,fresh start katie weldon catches bouquet wedding best friend christy miller also snags job offer launches adventure never imagined katie eagerly accepts job resident assistant rancho corona university find community conflict thought god wanted god use love everything falling apart especially comes boyfriend rick katie turns women life solace including christy safety love encouragement finally allows spill heart relationship rick even advice postpone decision katie must face decision define woman becoming peculiar treasures first book katie weldon series peculiar treasures,romance,peculiar treasures
Van de koele meren des doods,van koele meren des doods behoort samen met kleine johannes tot bekendste werken van frederik van eeden het een van meest gelezen herlezen nederlandse romans nog even indrukwekkend als toen het verscheen van koele meren des doods beschrijft van eeden met groot psychologisch inzicht het leven van een jonge vrouw hedwig marga fontayne van goede komaf maar erfelijk belast labiel worstelt met het huwelijk met haar idee liefde haar lustgevoelens totaal ontredderd verslaafd aan morfine eindigt parijs waar zich prostitueert aan geld komen een verblijf het ziekehuis krabbelt zij uiteindelijk weer overeind haar laatste dagen slijt zij nederland functie van liefdezuster een haast naamloze verschijning van koele meren des doods,psychology,van de koele meren des doods
Darker,james revisits world fifty shades deeper darker take love story enthralled millions readers around globe scorching sensual affair ended heartbreak recrimination christian grey get anastasia steele mind blood determined win back tries suppress darkest desires need complete control love ana terms horrors childhood still haunt ana scheming boss jack hyde clearly wants christian confidant therapist flynn help face demons possessiveness elena seducer deranged devotion leila former submissive drag christian past christian win ana back man dark damaged ever hope keep darker,romance,darker
Catch a Falling Star,deliciously charming novel finding true love nothing ever happens little way carter moon likes hollywood arrives film movie starring former child star turned mess adam jakes everything changes carter town becomes giant glittery set much annoyance everyone starry eyed adam carter seems girl falling get glimpse apparently makes perfect secret offer lifetime playing role adam girlfriend town improve public image exchange hefty paycheck family really needs money carters agrees turns adam thought grow closer relationship walks blurry line real fake carter must open eyes scariest unexplored worlds future carter figure wants life get guy hollywood endings real life catch falling star,romance,catch a falling star
Then Came You,lives four different women intertwine unexpected ways new novel bestselling author jennifer weiner shoes best friends forever woman problem princeton senior jules wildgren needs money help dad cure addiction pennsylvania housewife annie barrow gasping stay financially afloat india bishop yearns child urge stepdaughter bettina regard deeply skepticism finds unexpected situation interlocking dramas designed ensnare bound bestseller came,romance,then came you
The Tuscan Child,novel woman braves father hidden past discover secrets british bomber pilot hugo langley parachuted stricken plane verdant fields german occupied tuscany badly wounded found refuge ruined monastery arms sofia bartoli love kindled shaken irreversible betrayal nearly thirty years later hugo estranged daughter joanna returned home english countryside arrange father funeral among personal effects unopened letter addressed sofia startling revelation still dealing emotional wounds personal trauma joanna embarks healing journey tuscany understand father history maybe come understand well joanna soon discovers would prefer past left undisturbed come far let father secrets tuscan child,romance,the tuscan child
Fifty-one Shades: A Parody (First Three Chapters),read first three chapters fifty one shades parody rough draft excerpt forthcoming full length parody novel fifty shames earl grey shaffer turns bdsm love story ceo christian grey virginal college student anastasia steele comedy errors fifty one shades parody unbelievably handsome edward chris gray sweeps college student bella anna steal feet twisted world kinky sex dirty money board games every dark hero needs lighter side best friend brony jin intervene save wealthy perverted new boyfriend fifty one shades parody first three chapters,romance,fifty-one shades: a parody (first three chapters)
The State of the Art,first ever collection iain banks short fiction volume includes acclaimed novella state art striking addition growing body culture lore adds definition scale previous works using earth contrast stories collection range science fiction horror dark coated fantasy morality tale bear indefinable stamp iain banks staggering talent state art,fantasy,the state of the art
"Montmorency: Thief, Liar, Gentleman?",petty thief falls glass roof fleeing police death instead marks beginning whole new life soon become successful elusive burglar victorian london plotting daring raids using london new sewer system escape adopts dual existence fit new lifestyle taking roles respectable wealthy gentleman named montmorency corrupt servant scarper montmorency thief liar gentleman,crime,"montmorency: thief, liar, gentleman?"
The Want-Ad Killer,new york times bestselling author stranger beside comes true crime story serial killer sentenced die yet lived murder committing first grisly crime harvey louis carignan beat death sentence continued manipulate rape bludgeon women death using want ads lure young female victims time time justice thwarted killer whose twisted legal genius matched sick savagery complete testimony officers put behind bars women barely escaped lives want killer one shattering thought provoking true crime stories time want killer,crime,the want-ad killer
"Elizabeth and Mary: Cousins, Rivals, Queens",political religious conflicts queen elizabeth doomed mary queen scots centuries captured imagination inspired memorable dramas played stage screen opera books brought life vividly exquisite texture two women rivalry spurred ambitions machinations forceful men surrounded drama terrific resonance even women continue struggle bid executive power backdrop sixteenth century england scotland france dunn paints portraits pair protagonists whose formidable strengths placed relentless opposition protestant elizabeth bastard daughter anne boleyn whose legitimacy vouchsafed legal means glowed executive ability visionary energy bright red hair mary catholic successor england rivals wished see throne charming feminine deeply persuasive two women queens right contemporaries neighbours sets motion joint biography rare spark page turning power elizabeth mary cousins rivals queens,history,"elizabeth and mary: cousins, rivals, queens"
I Like It Like That,welcome new york city upper east side week school means wild parties new alliances clues truly outrageous mysteries enter world gossip girl watch drown luxury indulging favorite sports jealousy betrayal late night bar hopping spring break time jet sun valley plenty apr ski hot tub fun bad unfortunate stay new york intern among city fabulous glitterati back slopes ski house big keep track sleeping get cashmere lined boots meet fire know love gossip girl like like,romance,i like it like that
How to Talk So Kids Will Listen & Listen So Kids Will Talk,bestselling book give know need effective children enthusiastically praised parents professionals around world earth respectful approach faber mazlish makes relationships children ages less stressful rewarding recently revised updated fresh insights suggestions talk kids listen listen kids talk full practical innovative ways solve common problems build foundations lasting relationships talk kids listen listen kids talk,psychology,how to talk so kids will listen & listen so kids will talk
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,comes creating life want shakti gawain literally wrote book considered classic creative visualization teaches readers use imaginations manifest deepest desires creative visualization use power imagination create want life,psychology,creative visualization: use the power of your imagination to create what you want in your life
Shadow's Witness,erevis cale loyal servant uskevren family terrible secret ruthless evil unleashed selgaunt butler ties underworld may put uskevrens jeopardy erevis must finally prove loyalty city uskevrens get second chance shadow witness,fantasy,shadow's witness
"These High, Green Hills",years mitford sixtysomething rector happily married parish also married cynthia vivacious next door neighbor father tim life mitford never full surprises wife aging already ancient kitchen walls mention burning draperies mountain boy learned love makes heartrending decision agony mastering church computer system boggling pandemonium breaks loose quiet rectory becomes nursery however small potatoes compared happens wilderness camping trip sends home changed man high green hills jan karon takes readers heartwarming hilarious visit mitford lovable characters always inspire laughter tears fresh hope high green hills,romance,"these high, green hills"
Split Infinity,technological decadent world proton someone trying destroy stile serf master gamesman escape lay phaze world totally ruled magic soon learned alternate self already murdered next proton fate depended winning great games phaze must master magic survive used magic friends determined kill split infinity,fantasy,split infinity
From Paris to Eternity,lanjutan eiffel tolong setelah menyelesaikan tugas dari andrew mcgallaghan fay regina wiranata kembali indonesia kembali menjadi siswa sma biasa tak secuil pun kisah serunya paris bocorkan kepada sahabat sahabat dan orangtuanya fay hampir yakin kehidupannya akan berjalan normal seperti biasa namun mendapat kejutan lain yang mau tak mau menyeretnya kembali peristiwa paris menjadi juara lomba mengarang berbahasa prancis dengan hadiah kursus singkat selama satu minggu paris yakin dirinya tidak pernah mengikuti lomba yang dimaksud tambahan lagi berita itu disampaikan oleh institute paris yang merupakan kedok penculiknya tahun lalu fay tahu tidak punya pilihan lain kecuali berangkat paris memenuhi panggilan andrew hari harinya ternyata berjalan lebih berat daripada yang sangka selain mendapatkan pengawasan dari rekan andrew bernama philippe klaan yang sikapnya sangat tidak bersahabat fay juga harus menata kembali perasaannya kepada kent juga reno selesai melaksanakan tugas hidup memberikan kejutan lain yang amat mengguncang fay pesawat yang ditumpangi kedua orangtuanya mengalami kecelakaan dan orangtuanya dikabarkan meninggal dunia fay harus membuat keputusan terberat dalam hidupnya tetap jakarta dengan ketidakpastian akan masa depan atau pergi paris demi sebuah kepastian masa depan namun sekaligus membuatnya terpuruk sepanjang masa paris eternity,romance,from paris to eternity
The Leopard Prince,one thing lady must never wealthy lady georgina maitland want husband though could use good steward run estates one look harry pye georgina knows dealing servant man fall love harry known many aristocrats including one particular nobleman sworn enemy harry never met beautiful lady independent uninhibited eager arms servant still impossible conduct discreet liaison poisoned sheep murdered villagers enraged magistrate county uproar locals blame harry everything soon georgina keep head water harry noose without missing another night love leopard prince,romance,the leopard prince
Where White Men Fear to Tread: The Autobiography of Russell Means,russell means controversial american indian leader time white men fear tread well detailed first hand story life everything possible dramatize justify american indian aim self determination storming mount rushmore seizing plymouth rock running president notoriously leading day takeover wounded knee south dakota visionary autobiography one magnetic personalities fascinate educate inspire dee brown written reading means story essential clear understanding american indians last half twentieth century white men fear tread autobiography russell means,history,where white men fear to tread: the autobiography of russell means
The Three Little Wolves and the Big Bad Pig,comes time three little wolves world build house mother warns beware big bad pig little wolves increasingly sturdy dwellings match persistent porker sleeve huffing puffing takes chance encounter flamingo pushing wheelbarrow full flowers provide surprising satisfying solution little wolves housing crisis eugene trivizas hilarious text helen oxenbury enchanting watercolors made delightfully skewed version traditional tale contemporary classic three little wolves big bad pig,fantasy,the three little wolves and the big bad pig
Mackenzie's Mission,night wing revolutionary test plane top secret weapons system colonel joe breed mackenzie number one priority weapons expert caroline evans number one distraction true stubborn blonde giving cold shoulder joe become best best giving discovered someone inside sabotaging night wing late hours specialized expertise caroline seemed obvious choice joe choose allegiance country love prime suspect mackenzie mission,romance,mackenzie's mission
The Dead of Night,life linewhen seven members family kidnapped vespers thirteen year old dan cahill knew fight life knew impossibly powerful enemy dan knew odds family members make even dan steels accept facts unthinkable happens vespers capture blameless bystander dan best friend atticus innocent life line dan kicks frantic hunt take back alleys prague rock caves turkey dan better find atticus fast best friend surely die dead night,fantasy,the dead of night
Oracle,jackie french explores distant fascinating world future always seems king displeasure means death ages nikko thetis taken village amazing acrobatic skills save slavery make focus mycenaean court courtiers awe king enchanted thetis may destroy tells king truth future want hear nikko daring horse dancer euridce must travel across greece find sister extraordinary future awaits delphi one young girl change history jackie french waves history myth fantasy together one enthralling tale horse dancers earthquakes tsunamis well love courage beyond recorded time ages oracle,fantasy,oracle
Sometimes Never,hope best role model came relationships content current strings attached extracurricular activity lead singer band never believed love commitment mason starts eighth school five years anticipating nothing usual boring classes fighting making friends girls happily willing succumb easy smile never put much stock love first sight sees regardless painful pasts hope mason discover sometimes never become forever mature young adult recommended due sensitive subject material harsh language sexual situations sometimes never,romance,sometimes never
Babe in Boyland,high school junior natalie aphrodite calls writing relationship column school paper accused knowing nothing guys giving girls bad relationship advice decides investigate guys really think want guys class give straight serious answers solution disguising guy spending week underwood academy private boy boarding school town learns lot guys girls ways never expected especially falls dreamy roommate emilio show likes without blowing cover babe boyland,romance,babe in boyland
Ask For It,series georgian book length hrs minsnothing incites marcus primal hunger roused former fianc elizabeth years since jilted another man means lot catch lot make going enjoy every sweet moment drive passion sent another man arms brings elizabeth back marcus attraction one thing fears run options resisting impossible courage surrender everything sylvia day brilliance audio inc ask,romance,ask for it
Stealing Heaven,name danielle eighteen stealing things long remember dani trained thief best mother together move town town targeting wealthy homes making living stealing antique silver never stay one place long enough make real connections real friends real life beach town heaven though everything changes first time dani starts feel home making friends even met guy people never know real dani turns new friend lives house targeted next job cute guy cop dani must question loyalties lie life always known one always wanted stealing heaven,romance,stealing heaven
البداية والنهاية,pdf,history,البداية والنهاية
All He Desires,kate hart dominic knight volatile love affair continues last book nothing trilogy gibbs desiresself made billionaire dominic knight always master destiny boardroom bedroom takes charge every situation every impulse every lover ready tie one impossibly alluring woman kate hart thinks strong independent brain tech genius would envy body built pleasure always full control life met dominic knight moment first succumbed temptation dominic kate explored every fantasy every need every desire bound together intoxicating game passion possession seduction surrender nothing left conquer except possibility forever bright lights london sultry lairs paris dominic must convince kate ready make ultimate commitment long two lovers teeter brink ecstasy fall desires,romance,all he desires
